Chapter_QID_URL,Chapter_Label,Report,Chapter,Last Name,First Name,CountIfs,Role,Gender,Country of Residence,Citizenship,Affiliation,Match_Type
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,MEINSHAUSEN,Malte,3,Core_Writing_Team,M,Australia,Germany,The University of Melbourne,EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,MUKHERJI,Aditi,4,Core_Writing_Team,F,Kenya,India,CGIAR,EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,OTTO,Friederike,3,Core_Writing_Team,F,United Kingdom (of Great Britain and Northern Ireland),UK,Imperial College London,EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,REVI,Aromar,4,Core_Writing_Team,M,India,India,Indian Institute for Human Settlements,EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,ROY,Joyashree,4,Core_Writing_Team,F,India,India,"Asian Institute of Technology Thailand, Jadavpur University, India",EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,RUANE,Alexander,3,Core_Writing_Team,M,United States of America,USA,NASA Goddard Institute for Space Studies,EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,SLANGEN,Aimée,3,Core_Writing_Team,F,Netherlands,Netherlands,NIOZ Royal Netherlands Institute for Sea Research,EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,SöRENSSON,Anna Amelia,3,Core_Writing_Team,F,Argentina,Argentina,"Center for Ocean and Atmosphere Sciences (CIMA / CONICET-UBA), Franco-Argentinian Institute for the Study of Climate and its Impacts (UMI-IFAECI/CNRS-CONICET-UBA)",EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,THORNE,Peter,3,Core_Writing_Team,M,Ireland,Ireland,Maynooth University,EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,TRISOS,Christopher,3,Core_Writing_Team,M,South Africa,South Africa,University of Cape Town,EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,VAN VUUREN,Detlef,3,Core_Writing_Team,M,Netherlands,Netherlands,PBL Netherlands Environmental Assessment Agency,EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,WEI,Yi-ming,3,Core_Writing_Team,M,China,China,"Center for Energy and Environmental Policy Research, Beijing Institute of Technology",EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,WINKLER,Harald,3,Core_Writing_Team,M,South Africa,South Africa,"Energy Research Centre, University of Cape Town",EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,ZOMMERS,Zinta,4,Core_Writing_Team,F,United States of America,Latvia,United Nations Office for the Coordination of Humanitarian Affairs (UNOCHA),EXACT
http://localhost:8080/entity/Q104,Atlas,WGI,ATLAS,GUTIÉRREZ,José Manuel,1,CLA,M,Spain,Spain,Spanish Research Council (CSIC),EXACT
http://localhost:8080/entity/Q104,Atlas,WGI,ATLAS,JONES,Richard,1,CLA,M,United Kingdom (of Great Britain and Northern Ireland),UK,Met Office Hadley Centre,EXACT
http://localhost:8080/entity/Q104,Atlas,WGI,ATLAS,NARISMA,Gemma Teresa,1,CLA,F,Philippines,Philippines,Manila Observatory,EXACT
http://localhost:8080/entity/Q104,Atlas,WGI,ATLAS,AMJAD,Muhammad,1,LA,M,Pakistan,Pakistan,"Global Climate-Change Impact Studies Centre (GCISC), Ministry of Climate Change and Environmental Coordination",EXACT
http://localhost:8080/entity/Q104,Atlas,WGI,ATLAS,GORODETSKAYA,Irina,1,LA,F,Portugal,Russia,University of Aveiro,EXACT
http://localhost:8080/entity/Q104,Atlas,WGI,ATLAS,GROSE,Michael,1,LA,M,Australia,Australia,CSIRO Climate Science Centre,EXACT
http://localhost:8080/entity/Q104,Atlas,WGI,ATLAS,KLUTSE,Nana Ama Browne,1,LA,F,Ghana,Ghana,"Ghana Space Science and Technology Institute, Ghana Atomic Energy Commission",EXACT
http://localhost:8080/entity/Q104,Atlas,WGI,ATLAS,KRAKOVSKA,Svitlana,2,LA,F,Ukraine,Ukraine,Ukrainian Hydrometeorological Institute,EXACT
http://localhost:8080/entity/Q104,Atlas,WGI,ATLAS,LI,Jian,1,LA,M,China,China,"Chinese Academy of Meteorological Sciences, China Meteorological Administration",EXACT
http://localhost:8080/entity/Q104,Atlas,WGI,ATLAS,MARTíNEZ-CASTRO,Daniel,1,LA,M,Cuba,Cuba,Instituto de Meteorología,EXACT
http://localhost:8080/entity/Q104,Atlas,WGI,ATLAS,MEARNS,Linda,2,LA,F,United States of America,USA,National Center for Atmospheric Research,EXACT
http://localhost:8080/entity/Q104,Atlas,WGI,ATLAS,MERNILD,Sebastian H.,1,LA,M,Norway,Denmark,University of Southern Denmark,EXACT
http://localhost:8080/entity/Q104,Atlas,WGI,ATLAS,MUNIZ ALVES,Lincoln,1,LA,M,Brazil,Brazil,National Institute for Space Research (INPE),EXACT
http://localhost:8080/entity/Q104,Atlas,WGI,ATLAS,NGO-DUC,Thanh,1,LA,M,Vietnam,Vietnam,"University of Science and Technology of Hanoi, Vietnam Academy of Science and Technology",EXACT
http://localhost:8080/entity/Q104,Atlas,WGI,ATLAS,VAN DEN HURK,Bart,1,LA,M,Netherlands,Netherlands,Deltares,EXACT
http://localhost:8080/entity/Q104,Atlas,WGI,ATLAS,YOON,Jin-ho,1,LA,M,Republic of Korea,Republic of Korea,Gwangju Institute of Science and Technology,EXACT
http://localhost:8080/entity/Q104,Atlas,WGI,ATLAS,CAMILLONI,Inés,2,RE,F,Argentina,Argentina,WGI Vice-Chair,EXACT
http://localhost:8080/entity/Q104,Atlas,WGI,ATLAS,CHRISTENSEN,Jens Hesselbjerg,1,RE,M,Denmark,Denmark,"Niels Bohr Institute, University of Copenhagen",EXACT
http://localhost:8080/entity/Q104,Atlas,WGI,ATLAS,DRIOUECH,Fatima,2,RE,F,Morocco,Morocco,University Mohammed VI Polytechnic,EXACT
http://localhost:8080/entity/Q83,"Framing, Context, and Methods",WGI,"Chapter 1: Framing, context, methods",CHEN,Deliang,1,CLA,M,Sweden,Sweden,University of Gothenburg,FUZZY(0.93)
http://localhost:8080/entity/Q83,"Framing, Context, and Methods",WGI,"Chapter 1: Framing, context, methods",ROJAS,Maisa,1,CLA,F,Chile,Chile,University of Chile,FUZZY(0.93)
http://localhost:8080/entity/Q83,"Framing, Context, and Methods",WGI,"Chapter 1: Framing, context, methods",SAMSET,Bjørn H.,1,CLA,M,Norway,Norway,CICERO Center for international climate research,FUZZY(0.93)
http://localhost:8080/entity/Q83,"Framing, Context, and Methods",WGI,"Chapter 1: Framing, context, methods",COBB,Kim,1,LA,F,United States of America,USA,Georgia Inst. of Technology,FUZZY(0.93)
http://localhost:8080/entity/Q83,"Framing, Context, and Methods",WGI,"Chapter 1: Framing, context, methods",DIONGUE-NIANG,Aïda,3,LA,F,Senegal,Senegal,Agence Nationale de l'Aviation Civile et de la Météorologie du Sénégal -ANACIM,FUZZY(0.93)
http://localhost:8080/entity/Q83,"Framing, Context, and Methods",WGI,"Chapter 1: Framing, context, methods",EDWARDS,Paul,1,LA,M,United States of America,USA,Stanford University and University of Michigan,FUZZY(0.93)
http://localhost:8080/entity/Q83,"Framing, Context, and Methods",WGI,"Chapter 1: Framing, context, methods",EMORI,Seita,1,LA,M,Japan,Japan,"Institute for Future Initiatives, the University of Tokyo",FUZZY(0.93)
http://localhost:8080/entity/Q83,"Framing, Context, and Methods",WGI,"Chapter 1: Framing, context, methods",FARIA,Sergio Henrique,1,LA,M,Spain,Brazil,BC3 - Basque Centre for Climate Change,FUZZY(0.93)
